"supplier_name","country","city","vat_number","registration_number","supplier_code"
"MIRION TECHNOLOGIES (FRANCE)","FR","SAINT PAUL TROIS CHATEAUX",NA,"30337540600020","TEC333"
"SCAGLIA INDEVA","FR","ARGENTEUIL",NA,NA,"SCAG01"
"DEKRA INDUSTRIAL (FRANCE) - EQUIPEMENTS","FR","GIERES",NA,"43325083400119","NORI02"
"APC ETANCH' SARL","FR","RUMILLY","33451601355","45160135500063","APC-07"
"SIC - SOLUTIONS INTEGREES & CLOISONS","FR","MELAMARE",NA,"792197592","SIC-04"
"POISSON SA","FR","PRINGY",NA,"31968826300031","POIS01"
"ERIDAN DATA DISPLAY","FR","SAINT THIBAULT DES VIGNES",NA,"34212534100053","EDD-02"
"SNEF ELECTRIC-FLUX","FR","MARSEILLE",NA,"05680065900155","SNEF50"
"GTM CONSTRUCTION (FRANCE) (VINCI CONSTRUCTION)","FR","CRAN GEVRIER",NA,"39902217700360","GTM-01"
"THERMI FLUIDES","FR","CULOZ",NA,"44040888800012","THER35"
"**SEE ONET50**SOGEDEC - ONET TECHNOLOGIES (ONET GROUP)","FR","SAINT PAUL LEZ DURANCE",NA,NA,"SOGE10"
"ALTAIR VISION","FR","ACHERES","43789770583","78977058300027","ALTA05"
"GDF SUEZ - INEO","FR","SAINT GENIS POUILLY","18313987547","40986811400284","INEO01"
"AECI BALME FORAGE","FR","CROTTET",NA,NA,"ABF-04"
"GENHOME DESENFUMAGE","FR","GENAS",NA,NA,"GENH02"
"GENHOME DECONTAMINATION","FR","DARDILLY",NA,NA,"GENH01"
"PARVEX","FR","DIJON CEDEX","77389191602",NA,"PARV50"
"ABRI PLUS","FR","BEURE",NA,NA,"ABRI04"
"ETABLISSEMENTS A. PRAT & CO","FR","ST OUEN CEDEX",NA,NA,"PRAT50"
"ATR INGENIERIE","FR","VILLEURBANNE",NA,NA,"ATR-01"
"CIRCE INGENIERIE","FR","AIX EN PROVENCE CEDEX 3",NA,NA,"CIRC06"
"ETS ISOL APPLICATIONS","FR","BONS EN CHABLAIS",NA,"45361877900012","ISOL20"
"CIME BOCUZE","FR","SAINT PIERRE EN FAUCIGNY","80383966892","38396689200036","CIME50"
"VIDE ET TRAITEMENTS SERVICES","FR","NEUILLY EN THELLE",NA,NA,"VIDE03"
"ERT ETUDES ET REALISATIONS TECHNIQUES","FR","ST JEAN-DE-GONVILLE",NA,NA,"ERT-50"
"FRANCAISE D'INSTRUMENTATION","FR","SAINTE SAVINE","03380194019","38019401900077","FRAN50"
"FAURE HERMAN","FR","LA FERTE BERNARD",NA,"77733594400032","FAUR55"
"S.A. STERLING FLUID SYSTEMS (EXSTERLING SIHI FRANCE)","FR","TRAPPES",NA,"77570814200010","SIHI25"
"LABORATOIRE DE PHYSIQUE CORPUSCULAIRE DE CLERMONT FERRAND","FR","AUBIERE CEDEX",NA,NA,"LABO21"
"BUEHLER FRANCE","FR","DARDILLY",NA,NA,"BUEH01"
"RS ISOLEC","FR","CEPOY",NA,"73672024400028","RS--03"
"CONVERGIE SA","FR","LE BOURGET",NA,NA,"CONV50"
"GUNNEBO ENTRANCE CONTROL SARL","FR","PARIS CEDEX 13",NA,NA,"GUNN01"
"SADTEM SA","FR","DOUAI CEDEX",NA,NA,"SADT50"
"SEIBO","FR","PASSEL",NA,NA,"SEIB01"
"CEGELEC *** voir ALST88 ***","FR","ST GENIS POUILLY","83537915787","53791578700031","CEGE55"
"APVL INGENERIE","FR","SAINT CYR SUR LOIRE",NA,"42913310100049","APVL01"
"SAPHYMO-PHY","FR","SAINT-QUENTIN-EN-YVELINES","81562088930","56208893000127","SAPH75"
"DEPLOIEMENTS & TECHNOLOGIES","FR","NANTERRE",NA,NA,"DEPL02"
"MANUVIT","FR","STE GENEVIEVE DES BOIS",NA,"31865079300025","MANU83"
"FAMY/FR, COLAS/FR","FR","CHATILLON EN MICHAILLE",NA,NA,"GR2S78"
"ORTH CHARLES","FR","WASSELONNE CEDEX",NA,NA,"ORTH02"
"MDM (MASSE DIFFUSION MANUTENTION)","FR","PONTAULT COMBAULT",NA,NA,"MDM-01"
"CORJON SA","FR","VAULNAVEYS LE HAUT",NA,NA,"CORJ01"
"HYDR'AM","FR","ST-BONNET-DE-MURE",NA,"34857036700048","HYDR60"
"LOCAMION","FR","VIRIAT",NA,NA,"LOCA03"
"HADRON CONSORTIUM","FR","ST GENIS POUILLY",NA,NA,"HADR01"
"ENDEL (FR)+ BELLELI (IT)","FR","PONT EVEQUE",NA,NA,"GR2S11"
"CEGELEC/FR+ SPIE TRINDEL/FR+ FENWICK/FR + SPIE NEDERLAND/NL","FR","ST GENIS POUILLY",NA,NA,"GR4S15"
"ETS TARDY","FR","LA GRAND CROIX",NA,NA,"TARD75"
"R. GONNARD CABINET CONSEILS","FR","MANDELIEU",NA,NA,"GONN01"
