"supplier_name","country","city","vat_number","registration_number","supplier_code"
"INSTRUMENTOS DE MEDIDA (SPAIN)","ES","MADRID",NA,NA,"INS232"
"LASER GALICIA","ES","PORRINO","B36401305","B36401305","LASE36"
"D+T MICROELECTRONICA A.I.E","ES","CERDANYOLA DEL VALLES","60878857","B14597793","MIC-69"
"MECANIZADOS KANTER","ES","OIARTZUN (GUIPUZCOA)",NA,"A20441630","KANT02"
"INTARCON","ES","LUCENA",NA,"B14779136","INTA04"
"ELYTT ENERGY S.L.","ES","MADRID","B95235495",NA,"ELYT01"
"TALLERES PIEDRAFITA","ES","HUESCA","A-22016208","B22016208","TALL01"
"GOIALDE","ES","ZESTOA GIPUZKOA",NA,"B75035774","GOIA01"
"MANCISIDOR","ES","ELGOIBAR",NA,"B20659058","MANC02"
"JUMAR GASTEIZ S. COOP. PEQUENA","ES","VITORIA-GASTEIZ",NA,"F01461540","JGSC01"
"INMEPRE","ES","VITORIA-GASTEIZ",NA,NA,"INME01"
"INDISSOLUBLE","ES","BARCELONA",NA,NA,"INDI03"
"FUGRUB","ES","CABRERA DE MAR BCN",NA,NA,"FUGR02"
"INTECSA - INARSA","ES","MADRID",NA,NA,"INTE05"
"EGONDO, S.L.","ES","ELGOIBAR",NA,"B20179321","EGON02"
"GABADI SL","ES","NARON","15225055",NA,"GABA01"
"ALIBAVA SYSTEMS","ES","BELLATERRA, BARCELONA","65653677","B65653677","ALIB01"
"D+T MICROELECTRONICA","ES","CERDANYOLA DEL VALLES","60878857","B14597793","MIC-69"
"FUTURE FIBRES RIGGING SYSTEMS","ES","MUSEROS",NA,"B97462428","FFR-01"
"AUTOPULIT SA","ES","MANRESA",NA,NA,"AUTO11"
"AUTOTECNO INDUSTRIAL TRADING CENTER S.L.","ES","BARCELONA",NA,NA,"AUTO13"
"TAIM-TFG (Talleres Industriales Mineros)","ES","ZARAGOZA",NA,NA,"TAIM01"
"BEAT ANDALUCIA","ES","SEVILLA",NA,NA,"BEAT03"
"SANCOR","ES","MONTORNES DEL VALLES,BARCELONA",NA,"B61075081","SANC04"
"PROCON SYSTEMS, S.A.","ES","BADALONA",NA,"A60864840","PROC17"
"FIGUERAS INTERNATIONAL SEATING","ES","LLICA D'AMUNT (BARCELONA","B-08178238","B08178238","INT300"
"INDRA SISTEMAS S.A.","ES","ALCOBENDAS (MADRID)",NA,NA,"INDR50"
"INGOVI TECHNOLOGIAS ADVANZADAS SL","ES","TERRASSA","B63124788",NA,"INGO81"
"IBERDROLA INGENIERIA Y CONSULTORIA","ES","BILBAO (VIZCAYA)",NA,NA,"IBER08"
"CRISA","ES","TRES CANTOS (MADRID)",NA,NA,"CRIS20"
"GTD SA / SPIE TRINDEL / HEKATRON GMBH","ES","BARCELONA","A58 393 778",NA,"GR3S03"
"G T D S.A.","ES","BARCELONA",NA,NA,"GTD-50"
"PRINCIPIA - EQE","ES","MADRID",NA,NA,"PRIN04"
"ABB ANDREO BOET-EQUIPS INDUSTRIALS","ES","BARCELONA",NA,NA,"ABB-20"
"SIDASA","ES","MADRID",NA,NA,"SIDA01"
"CORPORACION SRB ENERGY, S.L.","ES","VALENCIA",NA,NA,"RBE-01"
"GTD SA - AMEC SPIE- HEKATRON GMBH","ES","BARCELONA","A58 393 778",NA,"GR3S03"
"COMSA INSTALACIONES Y SISTEMAS INDUSTRIALES SL","ES","BARCELONA","A64381072","768268224","EMTE02"
"COMSA INSTALACIONES Y SISTEMAS INDUSTRIALES SAU","ES","BARCELONA","A64381072","768268224","EMTE02"
"SA DE ELECTRIFICACIONES Y SUMINISTROS (SADES)","ES","BARCELONA","A08110330","460017551","SADE04"
"INDRA SISTEMAS","ES","ALCOBENDAS","A28599033",NA,"INDR50"
"COMSA EMTE","ES","BARCELONA","A64381072","768268224","EMTE02"
"INDISSOLUBLE","ES","BARCELONA","B60557659",NA,"INDI03"
"Indra Sistemas","ES","ALCOBENDAS","A28599033",NA,"INDR50"
"MICROTEST SA","ES","MADRID","A80693146",NA,"MIC162"
"VALTRIA ENGINEERING SA","ES","BARBERA DEL VALLES","A98474984","464843651","VALT04"
"INTEGRATED CIRCUITS MALAGA","ES","ALARO","92331990",NA,"INT411"
"TELESONIC","ES","GUIPUZCOA","A20095436",NA,"TEL-42"
